time,A,B,C,u
2.32,0.22560234254412598,0.3377594612758628,0.4359736564079343,0.0
2.33,0.22168719540488546,0.3480392088896603,0.431948613616649,0.0
2.34,0.22297573787190655,0.3247724073013458,0.42591687630696456,0.0
2.35,0.22636729751879,0.34149730119983324,0.43454303052239196,0.0
2.36,0.2262162682294102,0.3262539395912466,0.44967066336034334,0.0
2.37,0.219581080012948,0.3362632717436571,0.4410413018980422,0.0
2.38,0.2187601251044879,0.3334911343357855,0.4461926887944023,0.0
2.39,0.22230804274831878,0.33124996309956184,0.4237572885468791,0.0
2.4,0.22043265450534957,0.340893161779861,0.4387861659638909,0.0
2.41,0.2125919758243712,0.33360512827864186,0.42578601798861276,0.0
2.42,0.22659508574753204,0.33320059603389646,0.4414002374145776,0.0
2.43,0.22101542507550728,0.3355993972209032,0.4399552147628858,0.0
2.44,0.22415479247721848,0.33741540450383506,0.4401981569908516,0.0
2.45,0.21569241806659548,0.3443959462992244,0.4479551237929414,0.0
2.46,0.22653665356898975,0.3379091790689539,0.4336987140873303,0.0
2.47,0.21822240937121307,0.3346328861827148,0.44763595993731436,0.0
2.48,0.22031931111266803,0.3293767855957739,0.43837741000266445,0.0
2.49,0.21458190061363724,0.3447609260976709,0.43163021032570725,0.0
2.5,0.22000829298456326,0.3427802244899717,0.43473595396680226,0.0
2.5100000000000002,0.21970713771268333,0.3450102086718507,0.4440208414063797,0.0
2.52,0.21988024541856482,0.3363090307601471,0.43236781222063625,0.0
2.5300000000000002,0.2226111824518304,0.3489381530620678,0.44371122238086885,0.0
2.54,0.22092012874878078,0.34455076610168395,0.4396492451834517,0.0
2.5500000000000003,0.2249381405134331,0.3561301734671501,0.4318859358313727,0.0
2.56,0.21854581400398493,0.33834977673148775,0.4150634064084091,0.0
2.57,0.21619679703979439,0.3464474703364151,0.4374795171120282,0.0
2.58,0.22048687361732006,0.3517354100271786,0.4455973348454624,0.0
2.59,0.22332353333865157,0.33922808378116914,0.43304776993201066,0.0
2.6,0.2260225754785607,0.3406331639485338,0.444547127197459,0.0
2.61,0.2241041002627828,0.3374335731423845,0.4298043132657232,0.0
2.62,0.21271105062795925,0.3389532187065814,0.44805204164791723,0.0
2.63,0.222141692906135,0.3462070923503254,0.452433201686384,0.0
2.64,0.22690109614702408,0.3421595046452461,0.4402933637908591,0.0
2.65,0.22072123444162933,0.333699772388154,0.4424418613529632,0.0
2.66,0.2181541175151745,0.3574107489975495,0.42637728303980305,0.0
2.67,0.22177619752094188,0.33598290225602206,0.4511711485301079,0.0
2.68,0.21817966207948117,0.34861907888772065,0.43211618381855726,0.0
2.69,0.22319990924577446,0.3411672596280351,0.4438577920754427,0.0
2.7,0.22031100688167846,0.34541190178811426,0.4565760854326808,0.0
2.71,0.2264930694585338,0.3447169988746722,0.4418681349293091,0.0
2.72,0.22254130038847283,0.34627109457822147,0.4410912814955058,0.0
2.73,0.2171367152433533,0.34623204817545583,0.44281156501104585,0.0
2.74,0.2229774889354245,0.35247510385790704,0.43325126477534404,0.0
2.75,0.22442451846184894,0.3362863536205015,0.4333252094114059,0.0
2.7600000000000002,0.21778340859588388,0.3320190536153361,0.4492326043312779,0.0
2.77,0.21839980540090426,0.3296497081940779,0.43215534902659886,0.0
2.7800000000000002,0.21010875187275996,0.3270756404126783,0.43563704395819786,0.0
2.79,0.22423162540550595,0.3442040566073649,0.42664483464163955,0.0
2.8000000000000003,0.21765179410261043,0.3290277445496412,0.4403139875060813,0.0
2.81,0.21088159832761985,0.3299438927914822,0.4296923169517102,0.0
2.82,0.21242856343131403,0.34239858038655424,0.43695604189519005,0.0
2.83,0.21922647720944313,0.3388147880950543,0.4362521854027619,0.0
2.84,0.2235480534397173,0.3413509438950423,0.4381412710844746,0.0
2.85,0.21979593270942904,0.32260154126661506,0.4324524764478154,0.0
2.86,0.2222559257925938,0.3320501371145078,0.4361367784090184,0.0
2.87,0.21531861273664782,0.33027834740448325,0.4486968500034186,0.0
2.88,0.21425339069380697,0.3404552281332599,0.4470108289767875,0.0
2.89,0.22405050629437231,0.3403277096182783,0.44405119816619903,0.0
2.9,0.22230870591854582,0.34328063834884986,0.4434653299152731,0.0
2.91,0.21999898111121177,0.3488478982644918,0.4244568611044327,0.0
2.92,0.225769353669925,0.36397861004218857,0.4369340022284085,0.0
2.93,0.21592933099729372,0.337038454022403,0.4413504165467339,0.0
2.94,0.2182587541919904,0.3453109407720234,0.44122452299863585,0.0
2.95,0.22461919552730905,0.346715533031634,0.44389711101897894,0.0
2.96,0.22818326305763958,0.3398582487987514,0.4275782124702939,0.0
2.97,0.22012325467335955,0.33386840246519006,0.4426107917055623,0.0
2.98,0.22747152802097648,0.3464430194735867,0.43406023955266515,0.0
2.99,0.21742007652003728,0.3466452918183748,0.44148016087235437,0.0
3.0,0.22151649615899396,0.34436647473128,0.45360657273212523,0.0
3.0100000000000002,0.21929348660539308,0.3357198541266874,0.44375917363169287,0.0
3.02,0.21306208070256663,0.32555412729596966,0.43859045503418237,0.0
3.0300000000000002,0.2211810172038992,0.3335727144131433,0.4313220494981563,0.0
3.04,0.22414436889600922,0.3487474526836834,0.44737517975923385,0.0
3.0500000000000003,0.21938104354353605,0.34865820428835836,0.4217456738584966,0.0
3.06,0.2197176105643768,0.33373888200090124,0.43203652688437205,0.0
3.0700000000000003,0.2261514226337699,0.3423124036847215,0.41746694569048953,0.0
3.08,0.2145172083482304,0.3494101787450962,0.4372272440715568,0.0
3.09,0.21342120659378824,0.34960524805175086,0.4318421610313659,0.0
3.1,0.2171277778358799,0.3343550910092674,0.43409920204872576,0.0
3.11,0.21473530617055783,0.33937956748248366,0.4298690790659753,0.0
3.12,0.2259189697513276,0.3401770940308174,0.45614448187848755,0.0
3.13,0.22135308234649373,0.3331562767442029,0.4458738131810999,0.0
3.14,0.21618395762756926,0.35241837322380937,0.4453360578363392,0.0
3.15,0.2172775761887933,0.32867162129762634,0.43288900389928037,0.0
3.16,0.2325638502826197,0.34340834297189393,0.4457234104482956,0.0
3.17,0.2172880054720065,0.34759288298315216,0.43865543299787063,0.0
3.18,0.21661531612273974,0.34373046459030376,0.43585667371194414,0.0
3.19,0.22130224265321555,0.34570979131980467,0.42536818087065864,0.0
3.2,0.22276719289640434,0.3254359188824996,0.4396254315236801,0.0
3.21,0.22093059286409783,0.3410378381709409,0.4160941754435908,0.0
3.22,0.2159544091647518,0.3427220256778952,0.43203602401915114,0.0
3.23,0.2148484600448613,0.3426293367394985,0.41876624580585,0.0
3.24,0.22256630432355212,0.3317560504837439,0.4421273738873281,0.0
3.25,0.2197019591953036,0.33909293117309,0.4436867617419373,0.0
3.2600000000000002,0.21271656898405694,0.3351319440063537,0.44634083987102235,0.0
3.27,0.2250841990665907,0.3501781377416072,0.42659190222847143,0.0
3.2800000000000002,0.22334035995457643,0.3362683336816882,0.4479493284855,0.0
3.29,0.21886687843813366,0.3398233154746548,0.4561685396664894,0.0
3.3000000000000003,0.2187787682418269,0.3395153220693278,0.4341008043808927,0.0
3.31,0.22093847427247446,0.33931279650322227,0.4307597635601407,0.0
3.3200000000000003,0.2168956815230575,0.35224753596952885,0.4333580115284323,0.0
3.33,0.21398416333807727,0.35062183462879437,0.4334952848270387,0.0
3.34,0.22133005603979963,0.34332521047447745,0.4463928938761909,0.0
3.35,0.21357938423904904,0.3384838407074946,0.43350900567982,0.0
3.36,0.2216244622561419,0.3377565299486948,0.4422394975784752,0.0
3.37,0.21356480145584694,0.328131707810524,0.43851102749809084,0.0
3.38,0.21946439981631735,0.3412723093008886,0.4303615398003459,0.0
3.39,0.21930162420167829,0.3428968637865095,0.43903598320438497,0.0
3.4,0.2277355580174616,0.33959652645131283,0.4389628008808022,0.0
3.41,0.21521227751700786,0.33447789812017403,0.43995505176041866,0.0
3.42,0.2136682618378408,0.34883593401703966,0.4413095022379049,0.0
3.43,0.2170469012632868,0.3460243232327406,0.435946376544008,0.0
3.44,0.21494453603137786,0.3418887967673139,0.4423693585894665,0.0
3.45,0.2172906358934294,0.35151378232773073,0.4234708215390334,0.0
3.46,0.22173263117973888,0.3425411229788878,0.43414084198036623,0.0
3.47,0.22327487457774675,0.35319724955625115,0.4499570566247205,0.0
3.48,0.22717602551533025,0.3395955372943134,0.44147859258116673,0.0
3.49,0.2166364943467625,0.34188333481400973,0.4361123842424624,0.0
3.5,0.23147704000566002,0.33679846404532054,0.4318811061155498,0.0
3.5100000000000002,0.2285887888628695,0.3470184417941586,0.43321282980882553,0.0
3.52,0.21897542020856683,0.33757461467015126,0.4373758379161865,0.0
3.5300000000000002,0.2097924006629437,0.34360851928407166,0.42252300980033325,0.0
3.54,0.21950141641948032,0.3417510646221225,0.4353896098860862,0.0
3.5500000000000003,0.22018403402001813,0.3357977971418841,0.43676637580387884,0.0
3.56,0.2097531241997559,0.3558464228779579,0.41978419599475636,0.0
3.5700000000000003,0.22018659049499129,0.3483010468859088,0.42322911374876876,0.0
